Cycle 75: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 76: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 77: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 78: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 79: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 80: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 81: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 82: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 83: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 84: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 85: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 86: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 87: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 88: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 89: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 90: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 91: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 92: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 93: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 94: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 95: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 96: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 97: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 98: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 99: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 100: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 101: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 102: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 103: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 104: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 105: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 106: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 107: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 108: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 109: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 110: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 111: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 112: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 113: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 114: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 115: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 116: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 117: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 118: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 119: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 120: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 121: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 122: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 123: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 124: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 125: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 126: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 127: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 128: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 129: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 130: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 131: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 132: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 133: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 134: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 135: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 136: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 137: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 138: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 139: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 140: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 141: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 142: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 143: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 144: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 145: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 146: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 147: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 148: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 149: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 150: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 151: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 152: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 153: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 154: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 155: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 156: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 157: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 158: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 159: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 160: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 161: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 162: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 163: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 164: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 165: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 166: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 167: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 168: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 169: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 170: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 171: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 172: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 173: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 174: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 175: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 176: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 177: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 178: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 179: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 180: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 181: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 182: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 183: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 184: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 185: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 186: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 187: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 188: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 189: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 190: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 191: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 192: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 193: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 194: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 195: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 196: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 197: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 198: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 199: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 200: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 201: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 202: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 203: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 204: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 205: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 206: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 207: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 208: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 209: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 210: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 211: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 212: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 213: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
Cycle 214: PC=00000014 | Inst=114b0005 | PC_Branch=fffffffc | Taken=0
Cycle 215: PC=00000018 | Inst=01286020 | PC_Branch=ffff7ac4 | Taken=0
Cycle 216: PC=0000001c | Inst=01204020 | PC_Branch=00000028 | Taken=0
Cycle 217: PC=00000020 | Inst=01804820 | PC_Branch=00018098 | Taken=0
Cycle 218: PC=00000024 | Inst=214a0001 | PC_Branch=0001009c | Taken=0
Cycle 219: PC=00000028 | Inst=08000004 | PC_Branch=000120a0 | Taken=0
Cycle 220: PC=0000002c | Inst=0120b820 | PC_Branch=00000028 | Taken=0
Cycle 221: PC=00000010 | Inst=201bdead | PC_Branch=00000038 | Taken=0
